all_performers,director,movie_name,movie_type,release_date
"连姆·尼森,福里斯特·惠特克,玛姬·格蕾斯,多格雷·斯科特,法米克·詹森,丹兰·布鲁诺,勒兰德·奥瑟,强·格瑞斯,萨姆·斯普卢尔,Cedric Cirotteau",奥利维尔·米加顿,飓风营救3,"动作,惊悚,犯罪",2015-03-20
"刘德华,井柏然,梁家辉,吴君如,刘雅瑟,孙海英,许娣,吕行,王志飞,赵文浩",彭三源,失孤,剧情,2015-03-20
"陆剑青,张学友,张家辉,余文乐,王学圻,文咏珊,池珍熙,崔始源,顾美华,冯文娟",梁乐民,赤道,"动作,悬疑,犯罪",2015-04-30
"张训玮,林妍,黄磊,黄忆慈,陆毅,陆雨萱,曹格,曹三丰,曹华恩,杨威",谢涤葵,爸爸去哪儿2,"喜剧,家庭",2015-02-19
"詹妮弗·劳伦斯,乔什·哈切森,利亚姆·海姆斯沃斯,伍迪·哈里森,朱丽安·摩尔,菲利普·塞默·霍夫曼,杰弗里·怀特,斯坦利·图齐,唐纳德·萨瑟兰,伊丽莎白·班克斯",弗朗西斯·劳伦斯,饥饿游戏3：嘲笑鸟（上）,"动作,冒险,科幻",2015-02-08
"吴亦凡,王丽坤,徐静蕾,戈登·亚历山大,丛珊,张超,热依扎,黄立行,蔡书雅,Claudia Vasekova",徐静蕾,有一个地方只有我们知道,"剧情,爱情",2015-02-10
"刘富源,张伟,谭笑,万丹青,辛媛,张秉君,孙尧东,孟雨田,赵肖宇,王明洋",丁亮,熊出没之雪岭熊风,"动画,喜剧,冒险",2015-01-30
"拉娜·沃卓斯基,查宁·塔图姆,米拉·库尼斯,道格拉斯·布斯,肖恩·宾,埃迪·雷德梅恩,特瑞·吉列姆,詹姆斯·达西,玛利亚·多耶·肯尼迪,凡妮莎·柯比",莉莉·沃卓斯基,木星上行,"动作,科幻,冒险",2015-03-06
"郑恺,郭采洁,王传君,张艺兴,张殿伦,祁琪,马樱侨,马镜淇,田羽生,邱意浓",田羽生,前任2：备胎反击战,"喜剧,爱情",2015-11-06
"高圆圆,姜武,李晨,郑恺,陈意涵,郭碧婷,刘涛,王自健,明道,萨日娜",刘江,咱们结婚吧,"剧情,爱情",2015-04-02
"埃德加·拉米雷兹,卢克·布雷西,泰莉莎·帕尔墨,戴尔里·林多,雷·温斯顿,克雷蒙斯·施伊克,马蒂亚斯·瓦雷拉,托拜厄斯·桑特尔曼,波杰西·克里斯托弗,杰米斯·巴特勒",埃里克松·科尔,极盗者,"动作,犯罪,运动",2015-12-04
,,飓风营救3,,
"本·斯蒂勒,罗宾·威廉姆斯,欧文·威尔逊,丹·史蒂文斯,本·金斯利,史蒂夫·库根,瑞奇·热维斯,瑞贝尔·威尔森,布伦南·埃利奥特,派崔克·盖勒",肖恩·利维,博物馆奇妙夜3,"喜剧,奇幻,家庭",2015-01-04
"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛,克里斯·海姆斯沃斯,斯嘉丽·约翰逊,杰瑞米·雷纳,汤姆·希德勒斯顿,塞缪尔·杰克逊,克拉克·格雷格,寇碧·史莫德斯",乔斯·韦登,复仇者联盟,"动作,科幻,冒险",2012-05-05
,,飓风营救3,,
,,飓风营救3,,
,,爸爸去哪儿2,,
,,飓风营救3,,
,,饥饿游戏3：嘲笑鸟（上）,,
,,爸爸去哪儿2,,
,,饥饿游戏3：嘲笑鸟（上）,,
,,前任2：备胎反击战,,
,,饥饿游戏3：嘲笑鸟（上）,,
,,前任2：备胎反击战,,
,,前任2：备胎反击战,,
,,饥饿游戏3：嘲笑鸟（上）,,
,,前任2：备胎反击战,,
,,前任2：备胎反击战,,
,,前任2：备胎反击战,,
,,饥饿游戏3：嘲笑鸟（上）,,
,,前任2：备胎反击战,,
,,复仇者联盟,,
,,复仇者联盟,,
,,复仇者联盟,,
,,极盗者,,
,,复仇者联盟,,
,,复仇者联盟,,
,,复仇者联盟,,
,,博物馆奇妙夜3,,
,,博物馆奇妙夜3,,
,,复仇者联盟,,
,,博物馆奇妙夜3,,
,,博物馆奇妙夜3,,
,,复仇者联盟,,
,,复仇者联盟,,
,,复仇者联盟,,
,,博物馆奇妙夜3,,
,,博物馆奇妙夜3,,
,,博物馆奇妙夜3,,
,,复仇者联盟,,
,,极盗者,,
,,极盗者,,
,,极盗者,,
"赵薇,黄晓明,佟大为,姜成镐,黎一墨,瑞斯·考罗,西蒙·赫尔伯格,凯特·戴琳斯,艾丽西娅·维拉-贝利,罗伯特·帕特里克",蒂姆·肯德尔,横冲直撞好莱坞,"喜剧,动作,冒险",2015-06-26
,,博物馆奇妙夜3,,
,,极盗者,,
,,极盗者,,
,,极盗者,,
,,极盗者,,
,,博物馆奇妙夜3,,
,,极盗者,,
,,咱们结婚吧,,
,,极盗者,,
,,博物馆奇妙夜3,,
,,咱们结婚吧,,
,,博物馆奇妙夜3,,
,,极盗者,,
,,咱们结婚吧,,
,,咱们结婚吧,,
,,咱们结婚吧,,
,,横冲直撞好莱坞,,
,,横冲直撞好莱坞,,
,,横冲直撞好莱坞,,
,,横冲直撞好莱坞,,
,,横冲直撞好莱坞,,
,,咱们结婚吧,,
,,横冲直撞好莱坞,,
,,横冲直撞好莱坞,,
,,咱们结婚吧,,
,,横冲直撞好莱坞,,
,,咱们结婚吧,,
,,前任2：备胎反击战,,
,,横冲直撞好莱坞,,
,,前任2：备胎反击战,,
,,咱们结婚吧,,
,,横冲直撞好莱坞,,
,,咱们结婚吧,,
,,横冲直撞好莱坞,,
,,木星上行,,
,,木星上行,,
,,木星上行,,
,,木星上行,,
,,前任2：备胎反击战,,
,,木星上行,,
,,木星上行,,
,,前任2：备胎反击战,,
,,木星上行,,
"杨子姗,白客,陈柏霖,马天宇,刘循子墨,易小星,曾志伟,韩寒,赵文瑄,贾玲",易小星,万万没想到,"喜剧,奇幻,古装",2015-12-18
,,木星上行,,
,,木星上行,,
,,熊出没之雪岭熊风,,
,,熊出没之雪岭熊风,,
,,熊出没之雪岭熊风,,
,,熊出没之雪岭熊风,,
,,熊出没之雪岭熊风,,
,,木星上行,,
,,熊出没之雪岭熊风,,
,,咱们结婚吧,,
,,熊出没之雪岭熊风,,
,,熊出没之雪岭熊风,,
,,熊出没之雪岭熊风,,
,,熊出没之雪岭熊风,,
,,熊出没之雪岭熊风,,
,,木星上行,,
,,有一个地方只有我们知道,,
,,有一个地方只有我们知道,,
,,万万没想到,,
,,万万没想到,,
,,万万没想到,,
,,万万没想到,,
,,万万没想到,,
,,万万没想到,,
,,万万没想到,,
,,有一个地方只有我们知道,,
,,万万没想到,,
,,有一个地方只有我们知道,,
,,万万没想到,,
,,有一个地方只有我们知道,,
,,万万没想到,,
,,有一个地方只有我们知道,,
,,有一个地方只有我们知道,,
,,有一个地方只有我们知道,,
,,有一个地方只有我们知道,,
,,万万没想到,,
,,有一个地方只有我们知道,,
,,有一个地方只有我们知道,,
,,饥饿游戏3：嘲笑鸟（上）,,
,,饥饿游戏3：嘲笑鸟（上）,,
"邓超,段奕宏,郭涛,王珞丹,吕颂贤,高虎,杜志国,李德龙,邰勇峰,梁同裕",曹保平,烈日灼心,"剧情,犯罪,悬疑",2015-08-27
,,爸爸去哪儿2,,
,,饥饿游戏3：嘲笑鸟（上）,,
,,爸爸去哪儿2,,
,,爸爸去哪儿2,,
,,爸爸去哪儿2,,
,,饥饿游戏3：嘲笑鸟（上）,,
,,爸爸去哪儿2,,
,,爸爸去哪儿2,,
,,爸爸去哪儿2,,
,,饥饿游戏3：嘲笑鸟（上）,,
,,爸爸去哪儿2,,
,,赤道,,
,,赤道,,
,,赤道,,
,,饥饿游戏3：嘲笑鸟（上）,,
,,赤道,,
,,爸爸去哪儿2,,
,,赤道,,
,,烈日灼心,,
,,烈日灼心,,
,,烈日灼心,,
,,烈日灼心,,
,,烈日灼心,,
,,烈日灼心,,
,,烈日灼心,,
,,烈日灼心,,
,,赤道,,
,,烈日灼心,,
,,赤道,,
,,赤道,,
,,烈日灼心,,
,,赤道,,
,,失孤,,
,,失孤,,
,,失孤,,
,,失孤,,
,,失孤,,
,,赤道,,
,,失孤,,
,,失孤,,
,,赤道,,
"郭晓东,秦昊,张磊,梅婷,黄轩,黄璐,王志华,穆怀鹏,韩织优,孙珂",娄烨,推拿,剧情,2014-11-28
,,飓风营救3,,
,,飓风营救3,,
,,飓风营救3,,
,,烈日灼心,,
,,飓风营救3,,
,,飓风营救3,,
,,失孤,,
"郑中基,何超仪,许绍雄,罗仲谦,曾珮瑜,姜皓文,卢海鹏,林德信,吴嘉龙,卓韵芝",孔令政,第七谎言,"悬疑,犯罪",2015-03-27
,,失孤,,
,,失孤,,
"马德林,王晖,刘劲,吴卫东,郝姗姗,吴芃芃,谭仲池,丹尼斯·吴",周琦,通道转兵,历史,2011-08-30
"杨幂,鹿晗,王景春,朱亚文,赖艺,李溪芮,可爱宝利,唐昕,许龄月,柴蔚",安相勋,我是证人,"悬疑,犯罪,惊悚",2015-10-30
,,推拿,,
,,推拿,,
,,推拿,,
,,飓风营救3,,
,,推拿,,
,,推拿,,
,,推拿,,
,,推拿,,
,,飓风营救3,,
,,推拿,,
,,推拿,,
"宫哲,王九胜,王虎城",武洪武,遥远的拥抱,剧情,2009-07-20
,,第七谎言,,
,,第七谎言,,
,,推拿,,
,,我是证人,,
,,我是证人,,
,,通道转兵,,
,,我是证人,,
,,我是证人,,
,,我是证人,,
,,我是证人,,
,,我是证人,,
,,我是证人,,
,,通道转兵,,
,,我是证人,,
,,通道转兵,,
,,遥远的拥抱,,
,,遥远的拥抱,,
,,失孤,,
,,我是证人,,
"叶念琛,王菀之,周柏豪,杨梓邑,项昌群,庄思敏,陈嘉宝,连诗雅,李静仪,林盛斌",黄柏基,没女神探,"喜剧,爱情",2015-12-15
,,通道转兵,,
,,通道转兵,,
,,遥远的拥抱,,
,,通道转兵,,
,,通道转兵,,
,,通道转兵,,
,,通道转兵,,
,,第七谎言,,
,,第七谎言,,
,,第七谎言,,
,,第七谎言,,
,,第七谎言,,
,,第七谎言,,
,,第七谎言,,
,,我是证人,,
,,没女神探,,
,,第七谎言,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,推拿,,
,,第七谎言,,
"约翰·布鲁诺,雷·昆特,雷蒙德·昆特,詹姆斯·卡梅隆,弗兰克·洛蒂托,拉克兰·伍兹,保罗·亨利,约翰·加文,Brett Popplewell,詹姆斯·卡梅隆",安德鲁·韦特,深海挑战,"纪录片,冒险",2015-02-12
"沙鲁克·汗,迪皮卡·帕度柯妮,阿布舍克·巴强,阿努潘·凯尔,阿努拉格·卡施亚普,博曼·伊拉尼,杰奇·史洛夫,索努·苏德,维万·沙,普拉部·地伐",法拉·可汗,新年行动,"喜剧,动作,爱情,犯罪",2015-02-12
"曹安俊,杜雨辰,任鹏,王千航,尹贵勇,刘静怡,韩轩桐,邓紫衣,洪亮",余丹戈,亲，别怕,"爱情,惊悚",2015-07-10
"陈意涵,彭于晏,陈妍希,罗北安,林美秀,刘俊宏,余科宏,陈丽如,尤俊志,朱宣洁",郑芬芬,听说,"剧情,爱情",2015-06-26
"蓝燕,王李丹妮,董玉峰,邓紫衣,刘天荣,黄藤,潘来,张珈铭,郭祥,魏宏健",刘天荣,雨夜惊魂,"恐怖,惊悚,悬疑",2015-11-05
"温兆伦,余思潞,隋抒洋,杨心蕊,黄征,黄正杰,施科锋,张斌,庞清,杜华",黄正杰,死亡之谜,"惊悚,悬疑,冒险",2015-02-06
"吕聿来,黎一墨,谢君豪,张睿家,何佩瑜,杜玉明,时诗,张陆,彭波,裘胜斌",宁敬武,墓穴迷城,惊悚,2015-09-18
"狄菲菲,张云翼,程玉珠,孟祥龙,洪海天,吴磊,吴大维,Llian Li,李炼,李炼",李炼,昆塔：盒子总动员,"喜剧,动画,冒险",2015-11-14
"周迅,邓超,张涵予,王宝强,王砚辉,王柠,倪大红,颜北,董琳达,顾长宁",曹保平,李米的猜想,"剧情,爱情,犯罪",2008-09-18
"立威廉,佟丽娅,朱珠,王海祥,汤镇业,刘嘉,田玲,胡蓉蓉,肖剑,商秉驰",杨竞泽,诡劫,"爱情,惊悚,悬疑",2015-08-28
"黎筱濛,李佳怡,梁伽源,徐梦娟,王楠,陈昭,李密,陈相依,白禹飞,翁思浩",刘畅,西游超级粉,"动画,喜剧,冒险",2015-07-03
,,新年行动,,
"胡宇威,郭采洁,李淳,杨祐宁,郭碧婷,柯佳嬿,邹轩琦,樊光耀,郑有杰,张世",王童,对风说爱你,"剧情,爱情",2015-06-26
"乔任梁,张馨予,任达华,玛丽亚·格拉齐亚·库奇诺塔,白凯南,陈静,阿德里亚诺·吉安尼尼,蔡宜达,张一山,张大大",姜国民,魔卡行动,"动作,喜剧,爱情",2015-10-16
,,新年行动,,
,,新年行动,,
,,新年行动,,
,,死亡之谜,,
,,听说,,
,,亲，别怕,,
,,昆塔：盒子总动员,,
"黄宗泽,陈伟霆,谢天华,邓丽欣,赵荣,陈嘉桓,洪天明,龚慈恩,李灿森,翟天临",钟澍佳,男人不可以穷,"剧情,喜剧,爱情",2014-12-24
,,诡劫,,
,,西游超级粉,,
,,西游超级粉,,
"乔诗语,宣晓鸣,陈浩,张瑶函,商虹,莉莉李,张伟,赵震,李智伟,陈好",葛水英,兔子镇的火狐狸,"动画,冒险,奇幻",2015-10-30
,,昆塔：盒子总动员,,
,,对风说爱你,,
,,魔卡行动,,
,,对风说爱你,,
,,魔卡行动,,
,,西游超级粉,,
,,魔卡行动,,
,,魔卡行动,,
,,魔卡行动,,
,,魔卡行动,,
"杨恭如,唐文龙,迟帅,周岭南,李嘉傲,晏菲,郑君奇,丁宾,云飞",晏菲,我只要我们在一起,爱情,2015-02-13
,,魔卡行动,,
,,魔卡行动,,
,,男人不可以穷,,
,,男人不可以穷,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,男人不可以穷,,
,,男人不可以穷,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,死亡之谜,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,没女神探,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,男人不可以穷,,
,,男人不可以穷,,
,,我只要我们在一起,,
,,男人不可以穷,,
,,魔卡行动,,
,,男人不可以穷,,
,,男人不可以穷,,
